,Brand,Year,Horsepower,Engine Cylinders,Number of Doors,Price
83,Chrysler,2017,295.0,6.0,4.0,30900
84,Chrysler,2017,184.0,4.0,4.0,27795
85,Chrysler,2017,184.0,4.0,4.0,21995
86,Chrysler,2017,184.0,4.0,4.0,24490
87,Nissan,1996,115.0,4.0,2.0,2000
89,Nissan,1996,140.0,4.0,2.0,2000
90,Nissan,1997,140.0,4.0,2.0,2000
91,Nissan,1997,115.0,4.0,2.0,2000
93,Nissan,1998,115.0,4.0,2.0,2000
95,Nissan,1998,140.0,4.0,2.0,2073
96,Nissan,1996,155.0,4.0,2.0,3713
97,Nissan,1996,155.0,4.0,2.0,3520
98,Nissan,1997,155.0,4.0,2.0,3910
99,Nissan,1997,155.0,4.0,2.0,4182
100,Nissan,1997,155.0,4.0,2.0,4107
101,Nissan,1998,155.0,4.0,2.0,4299
102,Nissan,1998,155.0,4.0,2.0,4693
103,Nissan,1998,155.0,4.0,2.0,4107
104,Volvo,1991,114.0,4.0,4.0,2000
105,Volvo,1991,114.0,4.0,4.0,2000
106,Volvo,1991,114.0,4.0,4.0,2000
107,Volvo,1992,114.0,4.0,4.0,2000
108,Volvo,1992,114.0,4.0,4.0,2000
110,Volvo,1993,114.0,4.0,4.0,2000
111,Volvo,1993,114.0,4.0,4.0,2000
112,Mazda,2012,100.0,4.0,4.0,16020
113,Mazda,2012,100.0,4.0,4.0,14530
114,Mazda,2012,100.0,4.0,4.0,16860
115,Mazda,2012,100.0,4.0,4.0,15370
116,Mazda,2013,100.0,4.0,4.0,17050
117,Mazda,2013,100.0,4.0,4.0,15560
118,Mazda,2013,100.0,4.0,4.0,16210
119,Mazda,2013,100.0,4.0,4.0,14720
120,Mazda,2014,100.0,4.0,4.0,17050
121,Mazda,2014,100.0,4.0,4.0,15560
122,Mazda,2014,100.0,4.0,4.0,16210
123,Mazda,2014,100.0,4.0,4.0,14720
124,BMW,2015,300.0,6.0,4.0,47250
125,BMW,2015,240.0,4.0,4.0,41850
127,BMW,2016,240.0,4.0,4.0,43000
128,BMW,2016,300.0,6.0,4.0,49200
129,BMW,2017,320.0,6.0,4.0,49650
130,BMW,2017,248.0,4.0,4.0,43950
131,BMW,2015,241.0,4.0,4.0,41950
132,BMW,2015,335.0,6.0,4.0,50150
133,BMW,2015,240.0,4.0,4.0,37500
134,BMW,2015,300.0,6.0,4.0,43750
136,BMW,2015,240.0,4.0,4.0,39500
138,BMW,2015,180.0,4.0,4.0,34950
139,BMW,2015,300.0,6.0,4.0,45750
143,BMW,2015,180.0,4.0,4.0,32950
144,BMW,2016,180.0,4.0,4.0,41850
145,BMW,2016,320.0,6.0,4.0,47800
147,BMW,2016,240.0,4.0,4.0,38350
148,BMW,2016,240.0,4.0,4.0,40350
149,BMW,2016,240.0,4.0,4.0,38350
150,BMW,2016,240.0,4.0,4.0,42650
151,BMW,2016,180.0,4.0,4.0,33150
152,BMW,2016,180.0,4.0,4.0,35150
153,BMW,2016,180.0,4.0,4.0,44150
154,BMW,2016,320.0,6.0,4.0,45800
155,BMW,2017,248.0,4.0,4.0,38750
156,BMW,2017,180.0,4.0,4.0,35450
157,BMW,2017,180.0,4.0,4.0,33450
158,BMW,2017,248.0,4.0,4.0,40750
159,BMW,2017,180.0,4.0,4.0,42250
160,BMW,2017,248.0,4.0,4.0,42950
162,BMW,2017,320.0,6.0,4.0,49900
163,BMW,2017,320.0,6.0,4.0,47900
164,BMW,2017,180.0,4.0,4.0,44450
165,Mercedes-Benz,1991,177.0,6.0,4.0,2232
166,Mercedes-Benz,1991,177.0,6.0,4.0,2000
167,Mercedes-Benz,1991,158.0,6.0,4.0,2000
168,Mercedes-Benz,1991,177.0,6.0,4.0,2105
169,Mercedes-Benz,1991,177.0,6.0,4.0,2199
170,Mercedes-Benz,1991,177.0,6.0,4.0,2000
171,Mercedes-Benz,1991,177.0,6.0,4.0,2124
172,Mercedes-Benz,1991,228.0,6.0,2.0,3552
173,Mercedes-Benz,1991,217.0,6.0,2.0,2179
174,Mercedes-Benz,1991,121.0,5.0,4.0,2000
175,Mercedes-Benz,1992,121.0,5.0,4.0,2000
176,Mercedes-Benz,1992,228.0,6.0,4.0,2377
177,Mercedes-Benz,1992,228.0,6.0,2.0,3814
178,Mercedes-Benz,1992,177.0,6.0,4.0,2207
179,Mercedes-Benz,1992,177.0,6.0,4.0,2000
180,Mercedes-Benz,1992,217.0,6.0,2.0,2248
181,Mercedes-Benz,1992,177.0,6.0,4.0,2065
182,Mercedes-Benz,1992,148.0,6.0,4.0,2547
183,Mercedes-Benz,1992,177.0,6.0,4.0,2282
184,Mercedes-Benz,1992,158.0,6.0,4.0,2000
185,Mercedes-Benz,1993,177.0,6.0,4.0,2544
186,Mercedes-Benz,1993,217.0,6.0,2.0,2397
187,Mercedes-Benz,1993,121.0,5.0,4.0,2000
188,Mercedes-Benz,1993,228.0,6.0,2.0,4174
189,Mercedes-Benz,1993,217.0,6.0,4.0,2187
190,Mercedes-Benz,1993,148.0,6.0,4.0,2729
191,Mercedes-Benz,1993,177.0,6.0,4.0,2433
192,Mercedes-Benz,1993,194.0,6.0,4.0,2247
193,Mercedes-Benz,1993,228.0,6.0,4.0,2540
194,Mitsubishi,1997,218.0,6.0,2.0,3941
195,Mitsubishi,1997,161.0,6.0,2.0,3295
196,Mitsubishi,1997,320.0,6.0,2.0,6008
197,Mitsubishi,1998,320.0,6.0,2.0,6710
198,Mitsubishi,1998,161.0,6.0,2.0,3701
199,Mitsubishi,1998,218.0,6.0,2.0,4671
200,Mitsubishi,1999,218.0,6.0,2.0,5306
201,Mitsubishi,1999,320.0,6.0,2.0,7600
202,Mitsubishi,1999,161.0,6.0,2.0,4090
203,Chrysler,2015,300.0,6.0,4.0,37570
204,Chrysler,2015,292.0,6.0,4.0,31695
205,Chrysler,2015,292.0,6.0,4.0,38070
206,Chrysler,2015,292.0,6.0,4.0,44895
207,Chrysler,2015,300.0,6.0,4.0,35070
208,Chrysler,2015,292.0,6.0,4.0,42395
209,Chrysler,2015,292.0,6.0,4.0,34195
210,Chrysler,2015,292.0,6.0,4.0,40570
211,Chrysler,2016,300.0,6.0,4.0,38095
212,Chrysler,2016,300.0,6.0,4.0,35595
213,Chrysler,2016,292.0,6.0,4.0,45190
214,Chrysler,2016,292.0,6.0,4.0,32260
215,Chrysler,2016,292.0,6.0,4.0,37755
216,Chrysler,2016,292.0,6.0,4.0,41055
217,Chrysler,2016,300.0,6.0,4.0,36090
218,Chrysler,2016,292.0,6.0,4.0,42690
219,Chrysler,2016,292.0,6.0,4.0,38555
220,Chrysler,2016,292.0,6.0,4.0,35255
221,Chrysler,2016,300.0,6.0,4.0,38590
222,Chrysler,2016,292.0,6.0,4.0,34760
223,Chrysler,2017,292.0,6.0,4.0,41135
224,Chrysler,2017,292.0,6.0,4.0,45270
225,Chrysler,2017,300.0,6.0,4.0,38670
226,Chrysler,2017,292.0,6.0,4.0,38635
227,Chrysler,2017,300.0,6.0,4.0,36170
228,Chrysler,2017,300.0,6.0,4.0,38175
229,Chrysler,2017,292.0,6.0,4.0,32340
230,Chrysler,2017,292.0,6.0,4.0,42770
231,Chrysler,2017,292.0,6.0,4.0,34840
232,Chrysler,2017,300.0,6.0,4.0,35675
233,Chrysler,2002,250.0,6.0,4.0,32065
234,Chrysler,2002,250.0,6.0,4.0,28540
235,Chrysler,2003,255.0,6.0,4.0,32315
236,Chrysler,2003,250.0,6.0,4.0,28885
237,Chrysler,2004,250.0,6.0,4.0,29185
238,Chrysler,2004,255.0,6.0,4.0,32615
239,Nissan,1994,222.0,6.0,2.0,2847
240,Nissan,1994,222.0,6.0,2.0,2488
241,Nissan,1994,300.0,6.0,2.0,2683
242,Nissan,1994,222.0,6.0,2.0,2553
243,Nissan,1995,300.0,6.0,2.0,3049
244,Nissan,1995,222.0,6.0,2.0,2774
245,Nissan,1995,222.0,6.0,2.0,2702
246,Nissan,1995,222.0,6.0,2.0,3101
247,Nissan,1996,300.0,6.0,2.0,3510
248,Nissan,1996,222.0,6.0,2.0,3107
249,Nissan,1996,222.0,6.0,2.0,3624
250,Nissan,1996,222.0,6.0,2.0,3185
251,Mazda,1992,82.0,4.0,2.0,2000
253,Mazda,1993,82.0,4.0,2.0,2000
254,Mazda,1993,82.0,4.0,2.0,2000
255,Mazda,1994,82.0,4.0,2.0,2000
256,Mercedes-Benz,1990,134.0,6.0,4.0,2144
257,Mercedes-Benz,1990,134.0,6.0,4.0,2098
258,Mercedes-Benz,1991,134.0,6.0,4.0,2178
259,Mercedes-Benz,1991,134.0,6.0,4.0,2311
260,Nissan,2007,306.0,6.0,2.0,36550
261,Nissan,2007,306.0,6.0,2.0,41250
262,Nissan,2007,306.0,6.0,2.0,30600
263,Nissan,2007,306.0,6.0,2.0,37100
264,Nissan,2007,306.0,6.0,2.0,27900
265,Nissan,2007,306.0,6.0,2.0,32700
266,Nissan,2007,306.0,6.0,2.0,40250
267,Nissan,2007,306.0,6.0,2.0,35550
268,Nissan,2007,306.0,6.0,2.0,36100
269,Nissan,2007,306.0,6.0,2.0,33200
270,Nissan,2007,306.0,6.0,2.0,37900
271,Nissan,2007,306.0,6.0,2.0,29600
272,Nissan,2007,306.0,6.0,2.0,38070
273,Nissan,2007,306.0,6.0,2.0,38900
274,Nissan,2008,306.0,6.0,2.0,33840
275,Nissan,2008,306.0,6.0,2.0,38630
276,Nissan,2008,306.0,6.0,2.0,39630
277,Nissan,2008,306.0,6.0,2.0,37740
278,Nissan,2008,306.0,6.0,2.0,41980
279,Nissan,2008,306.0,6.0,2.0,36280
280,Nissan,2008,306.0,6.0,2.0,36740
281,Nissan,2008,306.0,6.0,2.0,40980
282,Nissan,2008,306.0,6.0,2.0,38680
283,Nissan,2008,306.0,6.0,2.0,28510
284,Nissan,2008,306.0,6.0,2.0,30210
285,Nissan,2008,306.0,6.0,2.0,31210
286,Nissan,2008,306.0,6.0,2.0,33340
287,Nissan,2008,306.0,6.0,2.0,37280
288,Nissan,2009,306.0,6.0,2.0,41570
289,Nissan,2009,306.0,6.0,2.0,36870
290,Nissan,2009,306.0,6.0,2.0,42570
291,Nissan,2009,306.0,6.0,2.0,37870
292,Nissan,2009,306.0,6.0,2.0,39220
293,Nissan,2009,306.0,6.0,2.0,40220
307,Nissan,2015,350.0,6.0,2.0,46790
308,Nissan,2015,332.0,6.0,2.0,48100
309,Nissan,2015,332.0,6.0,2.0,29990
310,Nissan,2015,332.0,6.0,2.0,41820
311,Nissan,2015,332.0,6.0,2.0,31290
312,Nissan,2015,332.0,6.0,2.0,34870
313,Nissan,2015,332.0,6.0,2.0,33570
314,Nissan,2015,332.0,6.0,2.0,46570
315,Nissan,2015,332.0,6.0,2.0,37970
316,Nissan,2015,332.0,6.0,2.0,37070
317,Nissan,2015,332.0,6.0,2.0,49400
318,Nissan,2015,332.0,6.0,2.0,45270
319,Nissan,2015,332.0,6.0,2.0,39270
320,Nissan,2015,350.0,6.0,2.0,45490
321,Nissan,2015,350.0,6.0,2.0,41990
322,Nissan,2015,332.0,6.0,2.0,38370
323,Nissan,2015,350.0,6.0,2.0,43290
324,Nissan,2016,332.0,6.0,2.0,41820
325,Nissan,2016,332.0,6.0,2.0,48100
326,Nissan,2016,350.0,6.0,2.0,43290
327,Nissan,2016,332.0,6.0,2.0,39270
328,Nissan,2016,332.0,6.0,2.0,34870
329,Nissan,2016,350.0,6.0,2.0,41990
330,Nissan,2016,332.0,6.0,2.0,38370
331,Nissan,2016,332.0,6.0,2.0,45270
332,Nissan,2016,350.0,6.0,2.0,45490
333,Nissan,2016,332.0,6.0,2.0,29990
334,Nissan,2016,332.0,6.0,2.0,46570
335,Nissan,2016,350.0,6.0,2.0,46790
336,Nissan,2016,332.0,6.0,2.0,49400
337,Nissan,2016,332.0,6.0,2.0,37070
338,Nissan,2016,332.0,6.0,2.0,31290
339,Nissan,2016,332.0,6.0,2.0,37970
340,Nissan,2016,332.0,6.0,2.0,33570
341,Nissan,2017,332.0,6.0,2.0,37970
342,Nissan,2017,332.0,6.0,2.0,38370
343,Nissan,2017,332.0,6.0,2.0,34870
344,Nissan,2017,332.0,6.0,2.0,29990
345,Nissan,2017,350.0,6.0,2.0,45490
346,Nissan,2017,350.0,6.0,2.0,41990
347,Nissan,2017,332.0,6.0,2.0,45270
348,Nissan,2017,332.0,6.0,2.0,33570
349,Nissan,2017,332.0,6.0,2.0,48100
350,Nissan,2017,332.0,6.0,2.0,39270
351,Nissan,2017,332.0,6.0,2.0,46570
352,Nissan,2017,332.0,6.0,2.0,49400
353,Nissan,2017,332.0,6.0,2.0,37070
354,Nissan,2017,332.0,6.0,2.0,41820
355,Nissan,2017,350.0,6.0,2.0,46790
356,Nissan,2017,350.0,6.0,2.0,43290
357,Nissan,2017,332.0,6.0,2.0,31290
358,Mazda,2015,184.0,4.0,4.0,25045
359,Mazda,2015,184.0,4.0,4.0,26095
360,Mazda,2015,155.0,4.0,4.0,23795
361,Mazda,2015,155.0,4.0,4.0,19595
362,Mazda,2015,155.0,4.0,4.0,18445
363,Mazda,2015,184.0,4.0,4.0,23845
364,Mazda,2015,184.0,4.0,4.0,25395
365,Mazda,2015,184.0,4.0,4.0,24895
366,Mazda,2015,184.0,4.0,4.0,25545
367,Mazda,2015,155.0,4.0,4.0,24295
368,Mazda,2015,155.0,4.0,4.0,19495
369,Mazda,2015,155.0,4.0,4.0,20095
370,Mazda,2015,155.0,4.0,4.0,19995
371,Mazda,2015,155.0,4.0,4.0,21145
372,Mazda,2015,155.0,4.0,4.0,23245
373,Mazda,2015,155.0,4.0,4.0,16945
374,Mazda,2015,184.0,4.0,4.0,24345
375,Mazda,2015,155.0,4.0,4.0,20645
376,Mazda,2015,155.0,4.0,4.0,18945
377,Mazda,2015,184.0,4.0,4.0,26595
378,Mazda,2015,155.0,4.0,4.0,22745
379,Mazda,2015,155.0,4.0,4.0,17995
380,Mazda,2016,155.0,4.0,4.0,22545
381,Mazda,2016,155.0,4.0,4.0,21095
382,Mazda,2016,184.0,4.0,4.0,25495
383,Mazda,2016,155.0,4.0,4.0,20745
384,Mazda,2016,155.0,4.0,4.0,24295
385,Mazda,2016,155.0,4.0,4.0,23595
386,Mazda,2016,155.0,4.0,4.0,21795
387,Mazda,2016,155.0,4.0,4.0,17845
388,Mazda,2016,184.0,4.0,4.0,26495
389,Mazda,2016,184.0,4.0,4.0,24745
390,Mazda,2016,155.0,4.0,4.0,18895
391,Mazda,2016,155.0,4.0,4.0,19595
392,Mazda,2016,155.0,4.0,4.0,23245
393,Mazda,2016,155.0,4.0,4.0,18545
394,Mazda,2016,184.0,4.0,4.0,25795
395,Mazda,2016,155.0,4.0,4.0,20045
396,Mazda,2016,184.0,4.0,4.0,25445
397,Mazda,2016,184.0,4.0,4.0,24795
398,Mazda,2017,155.0,4.0,4.0,21495
399,Mazda,2017,155.0,4.0,4.0,17845
400,Mazda,2017,184.0,4.0,4.0,23145
401,Mazda,2017,184.0,4.0,4.0,24195
402,Mazda,2017,155.0,4.0,4.0,20145
403,Mazda,2017,184.0,4.0,4.0,24945
404,Mazda,2017,184.0,4.0,4.0,23895
405,Mazda,2017,155.0,4.0,4.0,19095
406,Mazda,2017,184.0,4.0,4.0,23445
407,Mazda,2017,155.0,4.0,4.0,18895
408,Mazda,2017,155.0,4.0,4.0,22245
409,Mazda,2017,184.0,4.0,4.0,22395
410,Mazda,2017,155.0,4.0,4.0,20445
411,BMW,2015,240.0,4.0,4.0,42300
412,BMW,2015,240.0,4.0,4.0,40300
415,BMW,2015,300.0,6.0,4.0,45800
416,BMW,2015,300.0,6.0,4.0,47800
417,BMW,2016,240.0,4.0,4.0,43650
418,BMW,2016,300.0,6.0,4.0,49950
419,BMW,2016,300.0,6.0,4.0,47950
420,BMW,2016,240.0,4.0,4.0,41650
421,BMW,2017,320.0,6.0,4.0,48300
422,BMW,2017,320.0,6.0,4.0,50300
423,BMW,2017,248.0,4.0,4.0,43950
424,BMW,2017,248.0,4.0,4.0,41950
425,BMW,2015,300.0,6.0,2.0,56900
426,BMW,2015,300.0,6.0,2.0,46250
427,BMW,2015,240.0,4.0,2.0,50750
428,BMW,2015,240.0,4.0,2.0,42750
429,BMW,2015,240.0,4.0,2.0,48750
430,BMW,2015,300.0,6.0,2.0,48250
433,BMW,2015,240.0,4.0,2.0,40750
434,BMW,2015,300.0,6.0,2.0,54900
437,BMW,2016,240.0,4.0,2.0,52000
438,BMW,2016,240.0,4.0,2.0,50000
439,BMW,2016,240.0,4.0,2.0,41850
440,BMW,2016,300.0,6.0,2.0,50150
441,BMW,2016,240.0,4.0,2.0,41850
442,BMW,2016,300.0,6.0,2.0,58950
443,BMW,2016,240.0,4.0,2.0,43850
444,BMW,2016,300.0,6.0,2.0,48150
445,BMW,2016,300.0,6.0,2.0,56950
446,BMW,2017,248.0,4.0,2.0,50300
447,BMW,2017,248.0,4.0,2.0,52300
448,BMW,2017,320.0,6.0,2.0,50500
449,BMW,2017,248.0,4.0,2.0,44150
450,BMW,2017,248.0,4.0,2.0,42150
451,BMW,2017,320.0,6.0,2.0,59300
452,BMW,2017,320.0,6.0,2.0,57300
453,BMW,2017,320.0,6.0,2.0,48500
454,Mercedes-Benz,1992,268.0,8.0,4.0,2168
455,Mercedes-Benz,1992,282.0,8.0,4.0,2497
456,Mercedes-Benz,1993,275.0,8.0,4.0,2278
457,Mercedes-Benz,1993,275.0,8.0,4.0,2650
458,Mercedes-Benz,1990,201.0,8.0,4.0,2000
459,Mercedes-Benz,1991,201.0,8.0,4.0,2186
474,Alfa Romeo,2015,237.0,4.0,2.0,63900
475,Alfa Romeo,2015,237.0,4.0,2.0,68400
476,Alfa Romeo,2015,237.0,4.0,2.0,53900
477,Alfa Romeo,2016,237.0,4.0,2.0,55900
478,Alfa Romeo,2016,237.0,4.0,2.0,65900
479,Toyota,2014,270.0,6.0,4.0,41365
480,Toyota,2014,270.0,6.0,4.0,35740
481,Toyota,2014,270.0,6.0,4.0,37615
482,Toyota,2014,270.0,6.0,4.0,34695
483,Toyota,2014,270.0,6.0,4.0,35725
484,Toyota,2014,270.0,6.0,4.0,43400
485,Toyota,2014,270.0,6.0,4.0,32820
486,Toyota,2014,270.0,6.0,4.0,38645
487,Toyota,2015,270.0,6.0,4.0,37825
488,Toyota,2015,270.0,6.0,4.0,43620
489,Toyota,2015,270.0,6.0,4.0,36115
490,Toyota,2015,270.0,6.0,4.0,35950
491,Toyota,2015,270.0,6.0,4.0,33210
492,Toyota,2015,270.0,6.0,4.0,38855
493,Toyota,2015,270.0,6.0,4.0,41585
494,Toyota,2015,270.0,6.0,4.0,35085
495,Toyota,2015,270.0,6.0,4.0,41310
496,Toyota,2016,270.0,6.0,4.0,36690
497,Toyota,2016,270.0,6.0,4.0,44360
498,Toyota,2016,270.0,6.0,4.0,39595
499,Toyota,2016,270.0,6.0,4.0,41850
500,Toyota,2016,270.0,6.0,4.0,42325
501,Toyota,2016,270.0,6.0,4.0,35885
502,Toyota,2016,270.0,6.0,4.0,38565
503,Toyota,2016,270.0,6.0,4.0,36915
504,Toyota,2016,270.0,6.0,4.0,34010
505,BMW,2015,300.0,6.0,4.0,60700
506,BMW,2015,445.0,8.0,4.0,71400
507,BMW,2015,300.0,6.0,4.0,63000
508,BMW,2015,445.0,8.0,4.0,69100
509,BMW,2016,300.0,6.0,4.0,63200
510,BMW,2016,445.0,8.0,4.0,72500
511,BMW,2016,300.0,6.0,4.0,60900
512,BMW,2017,300.0,6.0,4.0,63200
513,BMW,2017,300.0,6.0,4.0,60900
514,BMW,2017,445.0,8.0,4.0,72500
515,BMW,2015,443.0,8.0,4.0,67200
516,BMW,2015,302.0,6.0,4.0,57900
517,BMW,2015,255.0,6.0,4.0,57100
518,BMW,2015,241.0,4.0,4.0,52250
519,BMW,2015,255.0,6.0,4.0,59400
520,BMW,2015,443.0,8.0,4.0,64900
521,BMW,2015,241.0,4.0,4.0,49950
522,BMW,2015,302.0,6.0,4.0,55600
523,BMW,2016,255.0,6.0,4.0,57350
524,BMW,2016,302.0,6.0,4.0,58150
525,BMW,2016,302.0,6.0,4.0,55850
526,BMW,2016,240.0,4.0,4.0,52500
527,BMW,2016,240.0,4.0,4.0,50200
528,BMW,2016,443.0,8.0,4.0,68600
529,BMW,2016,443.0,8.0,4.0,66300
530,BMW,2016,255.0,6.0,4.0,59650
531,Mercedes-Benz,1991,322.0,8.0,2.0,4155
532,Mercedes-Benz,1992,322.0,8.0,4.0,2427
533,Mercedes-Benz,1992,322.0,8.0,4.0,3245
534,Mercedes-Benz,1992,322.0,8.0,2.0,4701
535,Mercedes-Benz,1993,315.0,8.0,2.0,3176
536,Mercedes-Benz,1993,315.0,8.0,4.0,3613
537,Mercedes-Benz,1993,315.0,8.0,2.0,5140
538,Mercedes-Benz,1993,315.0,8.0,4.0,2692
542,FIAT,2015,160.0,4.0,2.0,26595
543,FIAT,2015,101.0,4.0,2.0,18700
544,FIAT,2015,135.0,4.0,2.0,19700
545,FIAT,2015,101.0,4.0,2.0,22800
546,FIAT,2015,101.0,4.0,2.0,24700
547,FIAT,2015,160.0,4.0,2.0,22495
548,FIAT,2015,101.0,4.0,2.0,17495
549,FIAT,2015,101.0,4.0,2.0,20345
550,FIAT,2015,101.0,4.0,2.0,17700
551,FIAT,2015,101.0,4.0,2.0,20400
552,FIAT,2015,101.0,4.0,2.0,16845
553,FIAT,2016,160.0,4.0,2.0,26695
554,FIAT,2016,101.0,4.0,2.0,21295
555,FIAT,2016,101.0,4.0,2.0,20395
556,FIAT,2016,101.0,4.0,2.0,17745
557,FIAT,2016,160.0,4.0,2.0,22575
558,FIAT,2016,101.0,4.0,2.0,24495
559,FIAT,2016,101.0,4.0,2.0,16995
560,FIAT,2016,101.0,4.0,2.0,20395
561,FIAT,2016,135.0,4.0,2.0,19700
562,FIAT,2016,101.0,4.0,2.0,17900
563,FIAT,2016,101.0,4.0,2.0,21395
564,FIAT,2017,160.0,4.0,2.0,19995
565,FIAT,2017,101.0,4.0,2.0,19390
566,FIAT,2017,101.0,4.0,2.0,17485
567,FIAT,2017,101.0,4.0,2.0,20885
568,FIAT,2017,160.0,4.0,2.0,21490
569,FIAT,2017,101.0,4.0,2.0,15990
570,FIAT,2015,160.0,4.0,4.0,19345
571,FIAT,2015,160.0,4.0,4.0,23095
572,FIAT,2015,160.0,4.0,4.0,24695
573,FIAT,2015,160.0,4.0,4.0,21695
574,FIAT,2015,160.0,4.0,4.0,20695
575,FIAT,2016,160.0,4.0,4.0,21880
576,FIAT,2016,160.0,4.0,4.0,23395
577,FIAT,2016,160.0,4.0,4.0,24795
578,FIAT,2016,160.0,4.0,4.0,20795
579,FIAT,2016,160.0,4.0,4.0,19495
580,FIAT,2017,160.0,4.0,4.0,23695
581,FIAT,2017,160.0,4.0,4.0,20995
582,FIAT,2017,160.0,4.0,4.0,22995
583,FIAT,2016,180.0,4.0,4.0,24635
584,FIAT,2016,180.0,4.0,4.0,25135
585,FIAT,2016,180.0,4.0,4.0,29235
586,FIAT,2016,180.0,4.0,4.0,23335
587,FIAT,2016,180.0,4.0,4.0,22735
588,FIAT,2016,180.0,4.0,4.0,27035
589,FIAT,2016,160.0,4.0,4.0,20000
590,FIAT,2016,180.0,4.0,4.0,27335
591,FIAT,2016,180.0,4.0,4.0,25235
592,FIAT,2017,180.0,4.0,4.0,27035
593,FIAT,2017,180.0,4.0,4.0,25135
594,FIAT,2017,180.0,4.0,4.0,25235
595,FIAT,2017,180.0,4.0,4.0,23890
596,FIAT,2017,180.0,4.0,4.0,23335
597,FIAT,2017,160.0,4.0,4.0,19995
600,Mercedes-Benz,1990,238.0,8.0,2.0,2323
601,Mercedes-Benz,1990,238.0,8.0,4.0,2170
602,Mercedes-Benz,1991,238.0,8.0,2.0,2443
