,Manufacturer,Model,HorsePower,Cylinders,Category,Price
63,Audi,200,162.0,5.0,Luxury,2000
64,Chrysler,200,184.0,4.0,Flex Fuel,25170
65,Chrysler,200,184.0,4.0,Flex Fuel,23950
66,Chrysler,200,295.0,6.0,"Flex Fuel,Performance",29370
67,Chrysler,200,184.0,4.0,Flex Fuel,21995
68,Chrysler,200,184.0,4.0,"Flex Fuel,Performance",26625
69,Chrysler,200,295.0,6.0,"Flex Fuel,Performance",30825
70,Chrysler,200,184.0,4.0,Flex Fuel,21995
71,Chrysler,200,184.0,4.0,Flex Fuel,27795
72,Chrysler,200,295.0,6.0,"Flex Fuel,Performance",31785
73,Chrysler,200,295.0,6.0,"Flex Fuel,Performance",29905
74,Chrysler,200,184.0,4.0,Flex Fuel,22490
75,Chrysler,200,184.0,4.0,Flex Fuel,27570
76,Chrysler,200,184.0,4.0,Flex Fuel,25690
77,Chrysler,200,184.0,4.0,Flex Fuel,24490
78,Chrysler,200,295.0,6.0,"Flex Fuel,Performance",29905
79,Chrysler,200,295.0,6.0,"Flex Fuel,Performance",31785
80,Chrysler,200,184.0,4.0,Flex Fuel,26685
81,Chrysler,200,184.0,4.0,Flex Fuel,22490
82,Chrysler,200,184.0,4.0,Flex Fuel,25690
83,Chrysler,200,295.0,6.0,"Flex Fuel,Performance",30900
84,Chrysler,200,184.0,4.0,Flex Fuel,27795
85,Chrysler,200,184.0,4.0,Flex Fuel,21995
86,Chrysler,200,184.0,4.0,Flex Fuel,24490
87,Nissan,200SX,115.0,4.0,No Category,2000
88,Nissan,200SX,115.0,4.0,No Category,2000
89,Nissan,200SX,140.0,4.0,Performance,2000
90,Nissan,200SX,140.0,4.0,Performance,2000
91,Nissan,200SX,115.0,4.0,No Category,2000
92,Nissan,200SX,115.0,4.0,No Category,2000
93,Nissan,200SX,115.0,4.0,No Category,2000
94,Nissan,200SX,115.0,4.0,No Category,2000
95,Nissan,200SX,140.0,4.0,Performance,2073
96,Nissan,240SX,155.0,4.0,Performance,3713
97,Nissan,240SX,155.0,4.0,Performance,3520
98,Nissan,240SX,155.0,4.0,Performance,3910
99,Nissan,240SX,155.0,4.0,Performance,4182
100,Nissan,240SX,155.0,4.0,Performance,4107
101,Nissan,240SX,155.0,4.0,Performance,4299
102,Nissan,240SX,155.0,4.0,Performance,4693
103,Nissan,240SX,155.0,4.0,Performance,4107
104,Volvo,240,114.0,4.0,Luxury,2000
105,Volvo,240,114.0,4.0,Luxury,2000
106,Volvo,240,114.0,4.0,Luxury,2000
107,Volvo,240,114.0,4.0,Luxury,2000
108,Volvo,240,114.0,4.0,Luxury,2000
109,Volvo,240,114.0,4.0,Luxury,2000
110,Volvo,240,114.0,4.0,Luxury,2000
111,Volvo,240,114.0,4.0,Luxury,2000
112,Mazda,2,100.0,4.0,Hatchback,16020
113,Mazda,2,100.0,4.0,Hatchback,14530
114,Mazda,2,100.0,4.0,Hatchback,16860
115,Mazda,2,100.0,4.0,Hatchback,15370
116,Mazda,2,100.0,4.0,Hatchback,17050
117,Mazda,2,100.0,4.0,Hatchback,15560
118,Mazda,2,100.0,4.0,Hatchback,16210
119,Mazda,2,100.0,4.0,Hatchback,14720
120,Mazda,2,100.0,4.0,Hatchback,17050
121,Mazda,2,100.0,4.0,Hatchback,15560
122,Mazda,2,100.0,4.0,Hatchback,16210
123,Mazda,2,100.0,4.0,Hatchback,14720
124,BMW,3 Series Gran Turismo,300.0,6.0,"Hatchback,Luxury,Performance",47250
125,BMW,3 Series Gran Turismo,240.0,4.0,"Hatchback,Luxury",41850
126,BMW,3 Series Gran Turismo,240.0,4.0,"Hatchback,Luxury",41850
127,BMW,3 Series Gran Turismo,240.0,4.0,"Hatchback,Luxury",43000
128,BMW,3 Series Gran Turismo,300.0,6.0,"Hatchback,Luxury,Performance",49200
129,BMW,3 Series Gran Turismo,320.0,6.0,"Hatchback,Luxury,Performance",49650
130,BMW,3 Series Gran Turismo,248.0,4.0,"Hatchback,Luxury",43950
131,BMW,3 Series,241.0,4.0,Luxury,41950
132,BMW,3 Series,335.0,6.0,"Luxury,High-Performance,Hybrid",50150
133,BMW,3 Series,240.0,4.0,"Luxury,Performance",37500
134,BMW,3 Series,300.0,6.0,"Luxury,High-Performance",43750
135,BMW,3 Series,180.0,4.0,"Diesel,Luxury",39000
136,BMW,3 Series,240.0,4.0,Luxury,39500
137,BMW,3 Series,240.0,4.0,Luxury,39500
138,BMW,3 Series,180.0,4.0,Luxury,34950
139,BMW,3 Series,300.0,6.0,"Luxury,Performance",45750
140,BMW,3 Series,180.0,4.0,"Diesel,Luxury",43450
141,BMW,3 Series,240.0,4.0,"Luxury,Performance",37500
142,BMW,3 Series,180.0,4.0,"Diesel,Luxury",41000
143,BMW,3 Series,180.0,4.0,Luxury,32950
144,BMW,3 Series,180.0,4.0,"Diesel,Luxury",41850
145,BMW,3 Series,320.0,6.0,"Luxury,High-Performance",47800
146,BMW,3 Series,180.0,4.0,"Diesel,Luxury",39850
147,BMW,3 Series,240.0,4.0,"Luxury,Performance",38350
148,BMW,3 Series,240.0,4.0,Luxury,40350
149,BMW,3 Series,240.0,4.0,"Luxury,Performance",38350
150,BMW,3 Series,240.0,4.0,Luxury,42650
151,BMW,3 Series,180.0,4.0,Luxury,33150
152,BMW,3 Series,180.0,4.0,Luxury,35150
153,BMW,3 Series,180.0,4.0,"Diesel,Luxury",44150
154,BMW,3 Series,320.0,6.0,"Luxury,High-Performance",45800
155,BMW,3 Series,248.0,4.0,"Luxury,Performance",38750
156,BMW,3 Series,180.0,4.0,Luxury,35450
157,BMW,3 Series,180.0,4.0,Luxury,33450
158,BMW,3 Series,248.0,4.0,Luxury,40750
159,BMW,3 Series,180.0,4.0,"Diesel,Luxury",42250
160,BMW,3 Series,248.0,4.0,Luxury,42950
161,BMW,3 Series,180.0,4.0,"Diesel,Luxury",40250
162,BMW,3 Series,320.0,6.0,"Luxury,Performance",49900
163,BMW,3 Series,320.0,6.0,"Luxury,High-Performance",47900
164,BMW,3 Series,180.0,4.0,"Diesel,Luxury",44450
165,Mercedes-Benz,300-Class,177.0,6.0,Luxury,2232
166,Mercedes-Benz,300-Class,177.0,6.0,Luxury,2000
167,Mercedes-Benz,300-Class,158.0,6.0,Luxury,2000
168,Mercedes-Benz,300-Class,177.0,6.0,Luxury,2105
169,Mercedes-Benz,300-Class,177.0,6.0,Luxury,2199
170,Mercedes-Benz,300-Class,177.0,6.0,Luxury,2000
171,Mercedes-Benz,300-Class,177.0,6.0,Luxury,2124
172,Mercedes-Benz,300-Class,228.0,6.0,"Luxury,Performance",3552
173,Mercedes-Benz,300-Class,217.0,6.0,Luxury,2179
174,Mercedes-Benz,300-Class,121.0,5.0,"Diesel,Luxury",2000
175,Mercedes-Benz,300-Class,121.0,5.0,"Diesel,Luxury",2000
176,Mercedes-Benz,300-Class,228.0,6.0,Luxury,2377
177,Mercedes-Benz,300-Class,228.0,6.0,"Luxury,Performance",3814
178,Mercedes-Benz,300-Class,177.0,6.0,Luxury,2207
179,Mercedes-Benz,300-Class,177.0,6.0,Luxury,2000
180,Mercedes-Benz,300-Class,217.0,6.0,Luxury,2248
181,Mercedes-Benz,300-Class,177.0,6.0,Luxury,2065
182,Mercedes-Benz,300-Class,148.0,6.0,"Diesel,Luxury",2547
183,Mercedes-Benz,300-Class,177.0,6.0,Luxury,2282
184,Mercedes-Benz,300-Class,158.0,6.0,Luxury,2000
185,Mercedes-Benz,300-Class,177.0,6.0,Luxury,2544
186,Mercedes-Benz,300-Class,217.0,6.0,Luxury,2397
187,Mercedes-Benz,300-Class,121.0,5.0,"Diesel,Luxury",2000
188,Mercedes-Benz,300-Class,228.0,6.0,"Luxury,Performance",4174
189,Mercedes-Benz,300-Class,217.0,6.0,Luxury,2187
190,Mercedes-Benz,300-Class,148.0,6.0,"Diesel,Luxury",2729
191,Mercedes-Benz,300-Class,177.0,6.0,Luxury,2433
192,Mercedes-Benz,300-Class,194.0,6.0,Luxury,2247
193,Mercedes-Benz,300-Class,228.0,6.0,Luxury,2540
194,Mitsubishi,3000GT,218.0,6.0,"Hatchback,Performance",3941
195,Mitsubishi,3000GT,161.0,6.0,Hatchback,3295
196,Mitsubishi,3000GT,320.0,6.0,"Hatchback,Factory Tuner,Performance",6008
197,Mitsubishi,3000GT,320.0,6.0,"Hatchback,Factory Tuner,Performance",6710
198,Mitsubishi,3000GT,161.0,6.0,Hatchback,3701
199,Mitsubishi,3000GT,218.0,6.0,"Hatchback,Performance",4671
200,Mitsubishi,3000GT,218.0,6.0,"Hatchback,Performance",5306
201,Mitsubishi,3000GT,320.0,6.0,"Hatchback,Factory Tuner,Performance",7600
202,Mitsubishi,3000GT,161.0,6.0,Hatchback,4090
203,Chrysler,300,300.0,6.0,No Category,37570
204,Chrysler,300,292.0,6.0,No Category,31695
205,Chrysler,300,292.0,6.0,No Category,38070
206,Chrysler,300,292.0,6.0,No Category,44895
207,Chrysler,300,300.0,6.0,Performance,35070
208,Chrysler,300,292.0,6.0,Performance,42395
209,Chrysler,300,292.0,6.0,No Category,34195
210,Chrysler,300,292.0,6.0,No Category,40570
211,Chrysler,300,300.0,6.0,No Category,38095
212,Chrysler,300,300.0,6.0,Performance,35595
213,Chrysler,300,292.0,6.0,No Category,45190
214,Chrysler,300,292.0,6.0,No Category,32260
215,Chrysler,300,292.0,6.0,No Category,37755
216,Chrysler,300,292.0,6.0,No Category,41055
217,Chrysler,300,300.0,6.0,Performance,36090
218,Chrysler,300,292.0,6.0,Performance,42690
219,Chrysler,300,292.0,6.0,No Category,38555
220,Chrysler,300,292.0,6.0,No Category,35255
221,Chrysler,300,300.0,6.0,No Category,38590
222,Chrysler,300,292.0,6.0,No Category,34760
223,Chrysler,300,292.0,6.0,No Category,41135
224,Chrysler,300,292.0,6.0,No Category,45270
225,Chrysler,300,300.0,6.0,No Category,38670
226,Chrysler,300,292.0,6.0,Performance,38635
227,Chrysler,300,300.0,6.0,Performance,36170
228,Chrysler,300,300.0,6.0,No Category,38175
229,Chrysler,300,292.0,6.0,No Category,32340
230,Chrysler,300,292.0,6.0,Performance,42770
231,Chrysler,300,292.0,6.0,No Category,34840
232,Chrysler,300,300.0,6.0,Performance,35675
233,Chrysler,300M,250.0,6.0,Performance,32065
234,Chrysler,300M,250.0,6.0,Performance,28540
235,Chrysler,300M,255.0,6.0,Performance,32315
236,Chrysler,300M,250.0,6.0,Performance,28885
237,Chrysler,300M,250.0,6.0,Performance,29185
238,Chrysler,300M,255.0,6.0,Performance,32615
239,Nissan,300ZX,222.0,6.0,Performance,2847
240,Nissan,300ZX,222.0,6.0,Performance,2488
241,Nissan,300ZX,300.0,6.0,"Hatchback,Performance",2683
242,Nissan,300ZX,222.0,6.0,Performance,2553
243,Nissan,300ZX,300.0,6.0,Performance,3049
244,Nissan,300ZX,222.0,6.0,Performance,2774
245,Nissan,300ZX,222.0,6.0,Performance,2702
246,Nissan,300ZX,222.0,6.0,Performance,3101
247,Nissan,300ZX,300.0,6.0,Performance,3510
248,Nissan,300ZX,222.0,6.0,Performance,3107
249,Nissan,300ZX,222.0,6.0,Performance,3624
250,Nissan,300ZX,222.0,6.0,Performance,3185
251,Mazda,323,82.0,4.0,Hatchback,2000
252,Mazda,323,82.0,4.0,Hatchback,2000
253,Mazda,323,82.0,4.0,Hatchback,2000
254,Mazda,323,82.0,4.0,Hatchback,2000
255,Mazda,323,82.0,4.0,Hatchback,2000
256,Mercedes-Benz,350-Class,134.0,6.0,"Diesel,Luxury",2144
257,Mercedes-Benz,350-Class,134.0,6.0,"Diesel,Luxury",2098
258,Mercedes-Benz,350-Class,134.0,6.0,"Diesel,Luxury",2178
259,Mercedes-Benz,350-Class,134.0,6.0,"Diesel,Luxury",2311
260,Nissan,350Z,306.0,6.0,High-Performance,36550
261,Nissan,350Z,306.0,6.0,High-Performance,41250
262,Nissan,350Z,306.0,6.0,High-Performance,30600
263,Nissan,350Z,306.0,6.0,High-Performance,37100
264,Nissan,350Z,306.0,6.0,High-Performance,27900
265,Nissan,350Z,306.0,6.0,High-Performance,32700
266,Nissan,350Z,306.0,6.0,High-Performance,40250
267,Nissan,350Z,306.0,6.0,High-Performance,35550
268,Nissan,350Z,306.0,6.0,High-Performance,36100
269,Nissan,350Z,306.0,6.0,High-Performance,33200
270,Nissan,350Z,306.0,6.0,High-Performance,37900
271,Nissan,350Z,306.0,6.0,High-Performance,29600
272,Nissan,350Z,306.0,6.0,"Factory Tuner,High-Performance",38070
273,Nissan,350Z,306.0,6.0,High-Performance,38900
274,Nissan,350Z,306.0,6.0,High-Performance,33840
275,Nissan,350Z,306.0,6.0,High-Performance,38630
276,Nissan,350Z,306.0,6.0,High-Performance,39630
277,Nissan,350Z,306.0,6.0,High-Performance,37740
278,Nissan,350Z,306.0,6.0,High-Performance,41980
279,Nissan,350Z,306.0,6.0,High-Performance,36280
280,Nissan,350Z,306.0,6.0,High-Performance,36740
281,Nissan,350Z,306.0,6.0,High-Performance,40980
282,Nissan,350Z,306.0,6.0,"Factory Tuner,High-Performance",38680
283,Nissan,350Z,306.0,6.0,High-Performance,28510
284,Nissan,350Z,306.0,6.0,High-Performance,30210
285,Nissan,350Z,306.0,6.0,High-Performance,31210
286,Nissan,350Z,306.0,6.0,High-Performance,33340
287,Nissan,350Z,306.0,6.0,High-Performance,37280
288,Nissan,350Z,306.0,6.0,High-Performance,41570
289,Nissan,350Z,306.0,6.0,High-Performance,36870
290,Nissan,350Z,306.0,6.0,High-Performance,42570
291,Nissan,350Z,306.0,6.0,High-Performance,37870
292,Nissan,350Z,306.0,6.0,High-Performance,39220
293,Nissan,350Z,306.0,6.0,High-Performance,40220
294,Ferrari,360,400.0,8.0,"Exotic,High-Performance",160829
295,Ferrari,360,400.0,8.0,"Exotic,High-Performance",140615
296,Ferrari,360,400.0,8.0,"Exotic,High-Performance",150694
297,Ferrari,360,400.0,8.0,"Exotic,High-Performance",170829
298,Ferrari,360,400.0,8.0,"Exotic,High-Performance",165986
299,Ferrari,360,400.0,8.0,"Exotic,High-Performance",154090
300,Ferrari,360,400.0,8.0,"Exotic,High-Performance",143860
301,Ferrari,360,400.0,8.0,"Exotic,High-Performance",176287
302,Ferrari,360,400.0,8.0,"Exotic,High-Performance",157767
303,Ferrari,360,425.0,8.0,"Exotic,Factory Tuner,High-Performance",187124
304,Ferrari,360,400.0,8.0,"Exotic,High-Performance",147332
305,Ferrari,360,400.0,8.0,"Exotic,High-Performance",169900
306,Ferrari,360,400.0,8.0,"Exotic,High-Performance",180408
307,Nissan,370Z,350.0,6.0,"Factory Tuner,High-Performance",46790
308,Nissan,370Z,332.0,6.0,High-Performance,48100
309,Nissan,370Z,332.0,6.0,High-Performance,29990
310,Nissan,370Z,332.0,6.0,High-Performance,41820
311,Nissan,370Z,332.0,6.0,High-Performance,31290
312,Nissan,370Z,332.0,6.0,High-Performance,34870
313,Nissan,370Z,332.0,6.0,High-Performance,33570
314,Nissan,370Z,332.0,6.0,High-Performance,46570
315,Nissan,370Z,332.0,6.0,High-Performance,37970
316,Nissan,370Z,332.0,6.0,High-Performance,37070
317,Nissan,370Z,332.0,6.0,High-Performance,49400
318,Nissan,370Z,332.0,6.0,High-Performance,45270
319,Nissan,370Z,332.0,6.0,High-Performance,39270
320,Nissan,370Z,350.0,6.0,"Factory Tuner,High-Performance",45490
321,Nissan,370Z,350.0,6.0,"Factory Tuner,High-Performance",41990
322,Nissan,370Z,332.0,6.0,High-Performance,38370
323,Nissan,370Z,350.0,6.0,"Factory Tuner,High-Performance",43290
324,Nissan,370Z,332.0,6.0,High-Performance,41820
325,Nissan,370Z,332.0,6.0,High-Performance,48100
326,Nissan,370Z,350.0,6.0,"Factory Tuner,High-Performance",43290
327,Nissan,370Z,332.0,6.0,High-Performance,39270
328,Nissan,370Z,332.0,6.0,High-Performance,34870
329,Nissan,370Z,350.0,6.0,"Factory Tuner,High-Performance",41990
330,Nissan,370Z,332.0,6.0,High-Performance,38370
331,Nissan,370Z,332.0,6.0,High-Performance,45270
332,Nissan,370Z,350.0,6.0,"Factory Tuner,High-Performance",45490
333,Nissan,370Z,332.0,6.0,High-Performance,29990
334,Nissan,370Z,332.0,6.0,High-Performance,46570
335,Nissan,370Z,350.0,6.0,"Factory Tuner,High-Performance",46790
336,Nissan,370Z,332.0,6.0,High-Performance,49400
337,Nissan,370Z,332.0,6.0,High-Performance,37070
338,Nissan,370Z,332.0,6.0,High-Performance,31290
339,Nissan,370Z,332.0,6.0,High-Performance,37970
340,Nissan,370Z,332.0,6.0,High-Performance,33570
341,Nissan,370Z,332.0,6.0,High-Performance,37970
342,Nissan,370Z,332.0,6.0,High-Performance,38370
343,Nissan,370Z,332.0,6.0,High-Performance,34870
344,Nissan,370Z,332.0,6.0,High-Performance,29990
345,Nissan,370Z,350.0,6.0,"Factory Tuner,High-Performance",45490
346,Nissan,370Z,350.0,6.0,"Factory Tuner,High-Performance",41990
347,Nissan,370Z,332.0,6.0,High-Performance,45270
348,Nissan,370Z,332.0,6.0,High-Performance,33570
349,Nissan,370Z,332.0,6.0,High-Performance,48100
350,Nissan,370Z,332.0,6.0,High-Performance,39270
351,Nissan,370Z,332.0,6.0,High-Performance,46570
352,Nissan,370Z,332.0,6.0,High-Performance,49400
353,Nissan,370Z,332.0,6.0,High-Performance,37070
354,Nissan,370Z,332.0,6.0,High-Performance,41820
355,Nissan,370Z,350.0,6.0,"Factory Tuner,High-Performance",46790
356,Nissan,370Z,350.0,6.0,"Factory Tuner,High-Performance",43290
357,Nissan,370Z,332.0,6.0,High-Performance,31290
358,Mazda,3,184.0,4.0,Performance,25045
359,Mazda,3,184.0,4.0,Performance,26095
360,Mazda,3,155.0,4.0,No Category,23795
361,Mazda,3,155.0,4.0,No Category,19595
362,Mazda,3,155.0,4.0,No Category,18445
363,Mazda,3,184.0,4.0,Performance,23845
364,Mazda,3,184.0,4.0,"Hatchback,Performance",25395
365,Mazda,3,184.0,4.0,Performance,24895
366,Mazda,3,184.0,4.0,"Hatchback,Performance",25545
367,Mazda,3,155.0,4.0,Hatchback,24295
368,Mazda,3,155.0,4.0,No Category,19495
369,Mazda,3,155.0,4.0,Hatchback,20095
370,Mazda,3,155.0,4.0,Hatchback,19995
371,Mazda,3,155.0,4.0,Hatchback,21145
372,Mazda,3,155.0,4.0,Hatchback,23245
373,Mazda,3,155.0,4.0,No Category,16945
374,Mazda,3,184.0,4.0,"Hatchback,Performance",24345
375,Mazda,3,155.0,4.0,No Category,20645
376,Mazda,3,155.0,4.0,Hatchback,18945
377,Mazda,3,184.0,4.0,"Hatchback,Performance",26595
378,Mazda,3,155.0,4.0,No Category,22745
379,Mazda,3,155.0,4.0,No Category,17995
380,Mazda,3,155.0,4.0,No Category,22545
381,Mazda,3,155.0,4.0,No Category,21095
382,Mazda,3,184.0,4.0,"Hatchback,Performance",25495
383,Mazda,3,155.0,4.0,Hatchback,20745
384,Mazda,3,155.0,4.0,Hatchback,24295
385,Mazda,3,155.0,4.0,No Category,23595
386,Mazda,3,155.0,4.0,Hatchback,21795
387,Mazda,3,155.0,4.0,No Category,17845
388,Mazda,3,184.0,4.0,"Hatchback,Performance",26495
389,Mazda,3,184.0,4.0,Performance,24745
390,Mazda,3,155.0,4.0,No Category,18895
391,Mazda,3,155.0,4.0,Hatchback,19595
392,Mazda,3,155.0,4.0,Hatchback,23245
393,Mazda,3,155.0,4.0,Hatchback,18545
394,Mazda,3,184.0,4.0,Performance,25795
395,Mazda,3,155.0,4.0,No Category,20045
396,Mazda,3,184.0,4.0,"Hatchback,Performance",25445
397,Mazda,3,184.0,4.0,Performance,24795
398,Mazda,3,155.0,4.0,No Category,21495
399,Mazda,3,155.0,4.0,No Category,17845
400,Mazda,3,184.0,4.0,Performance,23145
401,Mazda,3,184.0,4.0,Performance,24195
402,Mazda,3,155.0,4.0,Hatchback,20145
403,Mazda,3,184.0,4.0,"Hatchback,Performance",24945
404,Mazda,3,184.0,4.0,"Hatchback,Performance",23895
405,Mazda,3,155.0,4.0,Hatchback,19095
406,Mazda,3,184.0,4.0,"Hatchback,Performance",23445
407,Mazda,3,155.0,4.0,No Category,18895
408,Mazda,3,155.0,4.0,Hatchback,22245
409,Mazda,3,184.0,4.0,"Hatchback,Performance",22395
410,Mazda,3,155.0,4.0,No Category,20445
411,BMW,4 Series Gran Coupe,240.0,4.0,Luxury,42300
412,BMW,4 Series Gran Coupe,240.0,4.0,Luxury,40300
413,BMW,4 Series Gran Coupe,240.0,4.0,Luxury,40300
414,BMW,4 Series Gran Coupe,240.0,4.0,Luxury,42300
415,BMW,4 Series Gran Coupe,300.0,6.0,"Luxury,Performance",45800
416,BMW,4 Series Gran Coupe,300.0,6.0,"Luxury,Performance",47800
417,BMW,4 Series Gran Coupe,240.0,4.0,Luxury,43650
418,BMW,4 Series Gran Coupe,300.0,6.0,"Luxury,Performance",49950
419,BMW,4 Series Gran Coupe,300.0,6.0,"Luxury,Performance",47950
420,BMW,4 Series Gran Coupe,240.0,4.0,Luxury,41650
421,BMW,4 Series Gran Coupe,320.0,6.0,"Luxury,High-Performance",48300
422,BMW,4 Series Gran Coupe,320.0,6.0,"Luxury,Performance",50300
423,BMW,4 Series Gran Coupe,248.0,4.0,Luxury,43950
424,BMW,4 Series Gran Coupe,248.0,4.0,"Luxury,Performance",41950
425,BMW,4 Series,300.0,6.0,"Luxury,Performance",56900
426,BMW,4 Series,300.0,6.0,"Luxury,Performance",46250
427,BMW,4 Series,240.0,4.0,Luxury,50750
428,BMW,4 Series,240.0,4.0,Luxury,42750
429,BMW,4 Series,240.0,4.0,Luxury,48750
430,BMW,4 Series,300.0,6.0,"Luxury,Performance",48250
431,BMW,4 Series,240.0,4.0,Luxury,42750
432,BMW,4 Series,240.0,4.0,Luxury,50750
433,BMW,4 Series,240.0,4.0,"Luxury,Performance",40750
434,BMW,4 Series,300.0,6.0,"Luxury,Performance",54900
435,BMW,4 Series,240.0,4.0,Luxury,48750
436,BMW,4 Series,240.0,4.0,"Luxury,Performance",40750
437,BMW,4 Series,240.0,4.0,Luxury,52000
438,BMW,4 Series,240.0,4.0,Luxury,50000
439,BMW,4 Series,240.0,4.0,"Luxury,Performance",41850
440,BMW,4 Series,300.0,6.0,"Luxury,Performance",50150
441,BMW,4 Series,240.0,4.0,"Luxury,Performance",41850
442,BMW,4 Series,300.0,6.0,"Luxury,Performance",58950
443,BMW,4 Series,240.0,4.0,Luxury,43850
444,BMW,4 Series,300.0,6.0,"Luxury,Performance",48150
445,BMW,4 Series,300.0,6.0,"Luxury,Performance",56950
446,BMW,4 Series,248.0,4.0,Luxury,50300
447,BMW,4 Series,248.0,4.0,Luxury,52300
448,BMW,4 Series,320.0,6.0,"Luxury,Performance",50500
449,BMW,4 Series,248.0,4.0,"Luxury,Performance",44150
450,BMW,4 Series,248.0,4.0,"Luxury,Performance",42150
451,BMW,4 Series,320.0,6.0,"Luxury,Performance",59300
452,BMW,4 Series,320.0,6.0,"Luxury,Performance",57300
453,BMW,4 Series,320.0,6.0,"Luxury,Performance",48500
454,Mercedes-Benz,400-Class,268.0,8.0,"Luxury,Performance",2168
455,Mercedes-Benz,400-Class,282.0,8.0,Luxury,2497
456,Mercedes-Benz,400-Class,275.0,8.0,"Luxury,Performance",2278
457,Mercedes-Benz,400-Class,275.0,8.0,Luxury,2650
458,Mercedes-Benz,420-Class,201.0,8.0,Luxury,2000
459,Mercedes-Benz,420-Class,201.0,8.0,Luxury,2186
460,Ferrari,456M,442.0,12.0,"Exotic,High-Performance",223970
461,Ferrari,456M,442.0,12.0,"Exotic,High-Performance",219775
462,Ferrari,456M,442.0,12.0,"Exotic,High-Performance",228625
463,Ferrari,456M,442.0,12.0,"Exotic,High-Performance",224585
464,Ferrari,456M,442.0,12.0,"Exotic,High-Performance",228625
