Brand,Year,Horsepower,Engine Cylinders,Number of Doors,Price
Chrysler,2017,300.0,6.0,4.0,36170
Chrysler,2017,300.0,6.0,4.0,38175
Chrysler,2017,292.0,6.0,4.0,32340
Chrysler,2017,292.0,6.0,4.0,42770
Chrysler,2017,292.0,6.0,4.0,34840
Chrysler,2017,300.0,6.0,4.0,35675
Chrysler,2002,250.0,6.0,4.0,32065
Chrysler,2002,250.0,6.0,4.0,28540
Chrysler,2003,255.0,6.0,4.0,32315
Chrysler,2003,250.0,6.0,4.0,28885
Chrysler,2004,250.0,6.0,4.0,29185
Chrysler,2004,255.0,6.0,4.0,32615
Nissan,2007,306.0,6.0,2.0,36550
Nissan,2007,306.0,6.0,2.0,41250
Nissan,2007,306.0,6.0,2.0,30600
Nissan,2007,306.0,6.0,2.0,37100
Nissan,2007,306.0,6.0,2.0,27900
Nissan,2007,306.0,6.0,2.0,32700
Nissan,2007,306.0,6.0,2.0,40250
Nissan,2007,306.0,6.0,2.0,35550
Nissan,2007,306.0,6.0,2.0,36100
Nissan,2007,306.0,6.0,2.0,33200
Nissan,2007,306.0,6.0,2.0,37900
Nissan,2007,306.0,6.0,2.0,29600
Nissan,2007,306.0,6.0,2.0,38070
Nissan,2007,306.0,6.0,2.0,38900
Nissan,2008,306.0,6.0,2.0,33840
Nissan,2008,306.0,6.0,2.0,38630
Nissan,2008,306.0,6.0,2.0,39630
Nissan,2008,306.0,6.0,2.0,37740
Nissan,2008,306.0,6.0,2.0,41980
Nissan,2008,306.0,6.0,2.0,36280
Nissan,2008,306.0,6.0,2.0,36740
Nissan,2008,306.0,6.0,2.0,40980
Nissan,2008,306.0,6.0,2.0,38680
Nissan,2008,306.0,6.0,2.0,28510
Nissan,2008,306.0,6.0,2.0,30210
Nissan,2008,306.0,6.0,2.0,31210
Nissan,2008,306.0,6.0,2.0,33340
Nissan,2008,306.0,6.0,2.0,37280
Nissan,2009,306.0,6.0,2.0,41570
Nissan,2009,306.0,6.0,2.0,36870
Nissan,2009,306.0,6.0,2.0,42570
Nissan,2009,306.0,6.0,2.0,37870
Nissan,2009,306.0,6.0,2.0,39220
Nissan,2009,306.0,6.0,2.0,40220
Nissan,2015,350.0,6.0,2.0,46790
Nissan,2015,332.0,6.0,2.0,48100
Nissan,2015,332.0,6.0,2.0,29990
Nissan,2015,332.0,6.0,2.0,41820
Nissan,2015,332.0,6.0,2.0,31290
Nissan,2015,332.0,6.0,2.0,34870
Nissan,2015,332.0,6.0,2.0,33570
Nissan,2015,332.0,6.0,2.0,46570
Nissan,2015,332.0,6.0,2.0,37970
Nissan,2015,332.0,6.0,2.0,37070
Nissan,2015,332.0,6.0,2.0,49400
Nissan,2015,332.0,6.0,2.0,45270
Nissan,2015,332.0,6.0,2.0,39270
Nissan,2015,350.0,6.0,2.0,45490
Nissan,2015,350.0,6.0,2.0,41990
Nissan,2015,332.0,6.0,2.0,38370
Nissan,2015,350.0,6.0,2.0,43290
Nissan,2016,332.0,6.0,2.0,41820
Nissan,2016,332.0,6.0,2.0,48100
Nissan,2016,350.0,6.0,2.0,43290
Nissan,2016,332.0,6.0,2.0,39270
Nissan,2016,332.0,6.0,2.0,34870
Nissan,2016,350.0,6.0,2.0,41990
Nissan,2016,332.0,6.0,2.0,38370
Nissan,2016,332.0,6.0,2.0,45270
Nissan,2016,350.0,6.0,2.0,45490
Nissan,2016,332.0,6.0,2.0,29990
Nissan,2016,332.0,6.0,2.0,46570
Nissan,2016,350.0,6.0,2.0,46790
Nissan,2016,332.0,6.0,2.0,49400
Nissan,2016,332.0,6.0,2.0,37070
Nissan,2016,332.0,6.0,2.0,31290
Nissan,2016,332.0,6.0,2.0,37970
Nissan,2016,332.0,6.0,2.0,33570
Nissan,2017,332.0,6.0,2.0,37970
Nissan,2017,332.0,6.0,2.0,38370
Nissan,2017,332.0,6.0,2.0,34870
Nissan,2017,332.0,6.0,2.0,29990
Nissan,2017,350.0,6.0,2.0,45490
Nissan,2017,350.0,6.0,2.0,41990
Nissan,2017,332.0,6.0,2.0,45270
Nissan,2017,332.0,6.0,2.0,33570
Nissan,2017,332.0,6.0,2.0,48100
Nissan,2017,332.0,6.0,2.0,39270
Nissan,2017,332.0,6.0,2.0,46570
Nissan,2017,332.0,6.0,2.0,49400
Nissan,2017,332.0,6.0,2.0,37070
Nissan,2017,332.0,6.0,2.0,41820
Nissan,2017,350.0,6.0,2.0,46790
Nissan,2017,350.0,6.0,2.0,43290
Nissan,2017,332.0,6.0,2.0,31290
Mazda,2015,184.0,4.0,4.0,25045
Mazda,2015,184.0,4.0,4.0,26095
Mazda,2015,155.0,4.0,4.0,23795
Mazda,2015,155.0,4.0,4.0,19595
Mazda,2015,155.0,4.0,4.0,18445
Mazda,2015,184.0,4.0,4.0,23845
Mazda,2015,184.0,4.0,4.0,25395
Mazda,2015,184.0,4.0,4.0,24895
Mazda,2015,184.0,4.0,4.0,25545
Mazda,2015,155.0,4.0,4.0,24295
Mazda,2015,155.0,4.0,4.0,19495
Mazda,2015,155.0,4.0,4.0,20095
Mazda,2015,155.0,4.0,4.0,19995
Mazda,2015,155.0,4.0,4.0,21145
Mazda,2015,155.0,4.0,4.0,23245
Mazda,2015,155.0,4.0,4.0,16945
Mazda,2015,184.0,4.0,4.0,24345
Mazda,2015,155.0,4.0,4.0,20645
Mazda,2015,155.0,4.0,4.0,18945
Mazda,2015,184.0,4.0,4.0,26595
Mazda,2015,155.0,4.0,4.0,22745
Mazda,2015,155.0,4.0,4.0,17995
Mazda,2016,155.0,4.0,4.0,22545
Mazda,2016,155.0,4.0,4.0,21095
Mazda,2016,184.0,4.0,4.0,25495
Mazda,2016,155.0,4.0,4.0,20745
Mazda,2016,155.0,4.0,4.0,24295
Mazda,2016,155.0,4.0,4.0,23595
Mazda,2016,155.0,4.0,4.0,21795
Mazda,2016,155.0,4.0,4.0,17845
Mazda,2016,184.0,4.0,4.0,26495
Mazda,2016,184.0,4.0,4.0,24745
Mazda,2016,155.0,4.0,4.0,18895
Mazda,2016,155.0,4.0,4.0,19595
Mazda,2016,155.0,4.0,4.0,23245
Mazda,2016,155.0,4.0,4.0,18545
Mazda,2016,184.0,4.0,4.0,25795
Mazda,2016,155.0,4.0,4.0,20045
Mazda,2016,184.0,4.0,4.0,25445
Mazda,2016,184.0,4.0,4.0,24795
Mazda,2017,155.0,4.0,4.0,21495
Mazda,2017,155.0,4.0,4.0,17845
Mazda,2017,184.0,4.0,4.0,23145
Mazda,2017,184.0,4.0,4.0,24195
Mazda,2017,155.0,4.0,4.0,20145
Mazda,2017,184.0,4.0,4.0,24945
Mazda,2017,184.0,4.0,4.0,23895
Mazda,2017,155.0,4.0,4.0,19095
Mazda,2017,184.0,4.0,4.0,23445
Mazda,2017,155.0,4.0,4.0,18895
Mazda,2017,155.0,4.0,4.0,22245
Mazda,2017,184.0,4.0,4.0,22395
Mazda,2017,155.0,4.0,4.0,20445
BMW,2015,240.0,4.0,4.0,42300
BMW,2015,240.0,4.0,4.0,40300
BMW,2015,300.0,6.0,4.0,45800
BMW,2015,300.0,6.0,4.0,47800
BMW,2016,240.0,4.0,4.0,43650
BMW,2016,300.0,6.0,4.0,49950
BMW,2016,300.0,6.0,4.0,47950
BMW,2016,240.0,4.0,4.0,41650
BMW,2017,320.0,6.0,4.0,48300
BMW,2017,320.0,6.0,4.0,50300
BMW,2017,248.0,4.0,4.0,43950
BMW,2017,248.0,4.0,4.0,41950
BMW,2015,300.0,6.0,2.0,56900
BMW,2015,300.0,6.0,2.0,46250
BMW,2015,240.0,4.0,2.0,50750
BMW,2015,240.0,4.0,2.0,42750
BMW,2015,240.0,4.0,2.0,48750
BMW,2015,300.0,6.0,2.0,48250
BMW,2015,240.0,4.0,2.0,40750
BMW,2015,300.0,6.0,2.0,54900
BMW,2016,240.0,4.0,2.0,52000
BMW,2016,240.0,4.0,2.0,50000
BMW,2016,240.0,4.0,2.0,41850
BMW,2016,300.0,6.0,2.0,50150
BMW,2016,240.0,4.0,2.0,41850
BMW,2016,300.0,6.0,2.0,58950
BMW,2016,240.0,4.0,2.0,43850
BMW,2016,300.0,6.0,2.0,48150
BMW,2016,300.0,6.0,2.0,56950
BMW,2017,248.0,4.0,2.0,50300
BMW,2017,248.0,4.0,2.0,52300
BMW,2017,320.0,6.0,2.0,50500
BMW,2017,248.0,4.0,2.0,44150
BMW,2017,248.0,4.0,2.0,42150
BMW,2017,320.0,6.0,2.0,59300
BMW,2017,320.0,6.0,2.0,57300
BMW,2017,320.0,6.0,2.0,48500
Alfa Romeo,2015,237.0,4.0,2.0,63900
Alfa Romeo,2015,237.0,4.0,2.0,68400
Alfa Romeo,2015,237.0,4.0,2.0,53900
Alfa Romeo,2016,237.0,4.0,2.0,55900
Alfa Romeo,2016,237.0,4.0,2.0,65900
Toyota,2014,270.0,6.0,4.0,41365
Toyota,2014,270.0,6.0,4.0,35740
Toyota,2014,270.0,6.0,4.0,37615
Toyota,2014,270.0,6.0,4.0,34695
Toyota,2014,270.0,6.0,4.0,35725
Toyota,2014,270.0,6.0,4.0,43400
Toyota,2014,270.0,6.0,4.0,32820
Toyota,2014,270.0,6.0,4.0,38645
Toyota,2015,270.0,6.0,4.0,37825
Toyota,2015,270.0,6.0,4.0,43620
Toyota,2015,270.0,6.0,4.0,36115
Toyota,2015,270.0,6.0,4.0,35950
Toyota,2015,270.0,6.0,4.0,33210
Toyota,2015,270.0,6.0,4.0,38855
Toyota,2015,270.0,6.0,4.0,41585
Toyota,2015,270.0,6.0,4.0,35085
Toyota,2015,270.0,6.0,4.0,41310
Toyota,2016,270.0,6.0,4.0,36690
Toyota,2016,270.0,6.0,4.0,44360
Toyota,2016,270.0,6.0,4.0,39595
Toyota,2016,270.0,6.0,4.0,41850
Toyota,2016,270.0,6.0,4.0,42325
Toyota,2016,270.0,6.0,4.0,35885
Toyota,2016,270.0,6.0,4.0,38565
Toyota,2016,270.0,6.0,4.0,36915
Toyota,2016,270.0,6.0,4.0,34010
BMW,2015,300.0,6.0,4.0,60700
BMW,2015,445.0,8.0,4.0,71400
BMW,2015,300.0,6.0,4.0,63000
BMW,2015,445.0,8.0,4.0,69100
BMW,2016,300.0,6.0,4.0,63200
BMW,2016,445.0,8.0,4.0,72500
BMW,2016,300.0,6.0,4.0,60900
BMW,2017,300.0,6.0,4.0,63200
BMW,2017,300.0,6.0,4.0,60900
BMW,2017,445.0,8.0,4.0,72500
BMW,2015,443.0,8.0,4.0,67200
BMW,2015,302.0,6.0,4.0,57900
BMW,2015,255.0,6.0,4.0,57100
BMW,2015,241.0,4.0,4.0,52250
BMW,2015,255.0,6.0,4.0,59400
BMW,2015,443.0,8.0,4.0,64900
BMW,2015,241.0,4.0,4.0,49950
BMW,2015,302.0,6.0,4.0,55600
BMW,2016,255.0,6.0,4.0,57350
BMW,2016,302.0,6.0,4.0,58150
BMW,2016,302.0,6.0,4.0,55850
BMW,2016,240.0,4.0,4.0,52500
BMW,2016,240.0,4.0,4.0,50200
BMW,2016,443.0,8.0,4.0,68600
BMW,2016,443.0,8.0,4.0,66300
BMW,2016,255.0,6.0,4.0,59650
FIAT,2015,160.0,4.0,2.0,26595
FIAT,2015,101.0,4.0,2.0,18700
FIAT,2015,135.0,4.0,2.0,19700
FIAT,2015,101.0,4.0,2.0,22800
FIAT,2015,101.0,4.0,2.0,24700
FIAT,2015,160.0,4.0,2.0,22495
FIAT,2015,101.0,4.0,2.0,17495
FIAT,2015,101.0,4.0,2.0,20345
FIAT,2015,101.0,4.0,2.0,17700
FIAT,2015,101.0,4.0,2.0,20400
FIAT,2015,101.0,4.0,2.0,16845
FIAT,2016,160.0,4.0,2.0,26695
FIAT,2016,101.0,4.0,2.0,21295
FIAT,2016,101.0,4.0,2.0,20395
FIAT,2016,101.0,4.0,2.0,17745
FIAT,2016,160.0,4.0,2.0,22575
FIAT,2016,101.0,4.0,2.0,24495
FIAT,2016,101.0,4.0,2.0,16995
FIAT,2016,101.0,4.0,2.0,20395
FIAT,2016,135.0,4.0,2.0,19700
FIAT,2016,101.0,4.0,2.0,17900
FIAT,2016,101.0,4.0,2.0,21395
FIAT,2017,160.0,4.0,2.0,19995
FIAT,2017,101.0,4.0,2.0,19390
FIAT,2017,101.0,4.0,2.0,17485
FIAT,2017,101.0,4.0,2.0,20885
FIAT,2017,160.0,4.0,2.0,21490
FIAT,2017,101.0,4.0,2.0,15990
FIAT,2015,160.0,4.0,4.0,19345
FIAT,2015,160.0,4.0,4.0,23095
FIAT,2015,160.0,4.0,4.0,24695
FIAT,2015,160.0,4.0,4.0,21695
FIAT,2015,160.0,4.0,4.0,20695
FIAT,2016,160.0,4.0,4.0,21880
FIAT,2016,160.0,4.0,4.0,23395
FIAT,2016,160.0,4.0,4.0,24795
FIAT,2016,160.0,4.0,4.0,20795
FIAT,2016,160.0,4.0,4.0,19495
FIAT,2017,160.0,4.0,4.0,23695
FIAT,2017,160.0,4.0,4.0,20995
FIAT,2017,160.0,4.0,4.0,22995
FIAT,2016,180.0,4.0,4.0,24635
FIAT,2016,180.0,4.0,4.0,25135
FIAT,2016,180.0,4.0,4.0,29235
FIAT,2016,180.0,4.0,4.0,23335
FIAT,2016,180.0,4.0,4.0,22735
FIAT,2016,180.0,4.0,4.0,27035
FIAT,2016,160.0,4.0,4.0,20000
FIAT,2016,180.0,4.0,4.0,27335
FIAT,2016,180.0,4.0,4.0,25235
FIAT,2017,180.0,4.0,4.0,27035
FIAT,2017,180.0,4.0,4.0,25135
FIAT,2017,180.0,4.0,4.0,25235
FIAT,2017,180.0,4.0,4.0,23890
FIAT,2017,180.0,4.0,4.0,23335
FIAT,2017,160.0,4.0,4.0,19995
Mazda,2013,157.0,4.0,4.0,24470
Mazda,2013,157.0,4.0,4.0,20940
Mazda,2013,157.0,4.0,4.0,19940
Mazda,2013,157.0,4.0,4.0,22070
Mazda,2014,157.0,4.0,4.0,20140
Mazda,2014,157.0,4.0,4.0,24670
Mazda,2014,157.0,4.0,4.0,21140
Mazda,2014,157.0,4.0,4.0,22270
Mazda,2015,157.0,4.0,4.0,24770
Mazda,2015,157.0,4.0,4.0,22370
Mazda,2015,157.0,4.0,4.0,21240
BMW,2015,315.0,6.0,2.0,76100
Mazda,2000,170.0,6.0,4.0,2080
Mazda,2000,170.0,6.0,4.0,2234
Mazda,2000,130.0,4.0,4.0,2000
Mazda,2000,130.0,4.0,4.0,2146
Mazda,2001,165.0,6.0,4.0,22935
Mazda,2001,165.0,6.0,4.0,19935
Mazda,2001,125.0,4.0,4.0,20935
Mazda,2001,125.0,4.0,4.0,18735
Mazda,2002,165.0,6.0,4.0,19985
Mazda,2002,125.0,4.0,4.0,18785
Mazda,2002,165.0,6.0,4.0,21885
Mazda,2015,184.0,4.0,4.0,24895
Mazda,2015,184.0,4.0,4.0,22895
Mazda,2015,184.0,4.0,4.0,23845
Mazda,2015,184.0,4.0,4.0,21190
Mazda,2015,184.0,4.0,4.0,29895
Mazda,2016,184.0,4.0,4.0,22995
Mazda,2016,184.0,4.0,4.0,24995
Mazda,2016,184.0,4.0,4.0,21495
Mazda,2016,184.0,4.0,4.0,30195
Mazda,2016,184.0,4.0,4.0,23945
Mazda,2017,184.0,4.0,4.0,30695
Mazda,2017,184.0,4.0,4.0,21945
Mazda,2017,184.0,4.0,4.0,24195
Mazda,2017,184.0,4.0,4.0,22995
Mazda,2017,184.0,4.0,4.0,25245
BMW,2015,315.0,6.0,4.0,74000
Porsche,2017,300.0,4.0,2.0,53900
Porsche,2017,350.0,4.0,2.0,66300
Toyota,2017,205.0,4.0,2.0,26255
Toyota,2017,200.0,4.0,2.0,26975
Saab,2005,227.0,4.0,4.0,26950
Saab,2005,165.0,4.0,4.0,22990
Saab,2006,230.0,4.0,4.0,26950
Saab,2006,173.0,4.0,4.0,22990
Saab,2012,220.0,4.0,4.0,28900
Saab,2012,220.0,4.0,2.0,44080
Saab,2012,220.0,4.0,2.0,46080
Saab,2012,220.0,4.0,4.0,37115
Saab,2012,220.0,4.0,2.0,39490
Saab,2012,220.0,4.0,4.0,34340
Saab,2012,220.0,4.0,2.0,44080
Saab,2012,220.0,4.0,2.0,40840
Saab,2012,220.0,4.0,4.0,31180
Saab,2012,220.0,4.0,4.0,32395
Saab,2012,220.0,4.0,4.0,34340
Saab,2012,220.0,4.0,4.0,34975
Saab,2012,220.0,4.0,4.0,37115
Saab,2012,220.0,4.0,4.0,34975
Saab,2012,220.0,4.0,4.0,30250
Saab,2012,220.0,4.0,4.0,32395
Saab,2012,220.0,4.0,4.0,29830
Saab,2012,220.0,4.0,2.0,46080
Saab,2009,210.0,4.0,4.0,37810
Saab,2009,280.0,6.0,2.0,51330
Saab,2009,210.0,4.0,4.0,38305
Saab,2009,280.0,6.0,4.0,44885
Saab,2009,210.0,4.0,4.0,30360
Saab,2009,210.0,4.0,2.0,42130
Saab,2009,280.0,6.0,4.0,43605
Saab,2009,210.0,4.0,4.0,31790
Saab,2009,210.0,4.0,4.0,35315
Saab,2009,210.0,4.0,4.0,37140
Saab,2009,210.0,4.0,4.0,34150
Saab,2009,210.0,4.0,2.0,44455
Saab,2009,210.0,4.0,4.0,36395
Saab,2009,210.0,4.0,2.0,47345
Saab,2010,207.0,4.0,4.0,32395
Saab,2010,207.0,4.0,4.0,28900
Saab,2010,207.0,4.0,4.0,30330
Saab,2010,207.0,4.0,2.0,39990
Saab,2010,207.0,4.0,4.0,38115
Saab,2010,207.0,4.0,2.0,45080
Saab,2010,207.0,4.0,4.0,35340
Saab,2010,207.0,4.0,4.0,36975
Saab,2010,207.0,4.0,4.0,37020
Saab,2011,210.0,4.0,4.0,28900
Saab,2011,210.0,4.0,4.0,38115
Saab,2011,210.0,4.0,4.0,32395
Saab,2011,210.0,4.0,2.0,39990
Saab,2011,210.0,4.0,4.0,30330
Saab,2011,210.0,4.0,4.0,37020
Saab,2011,210.0,4.0,4.0,35340
Saab,2011,210.0,4.0,4.0,36975
Saab,2011,210.0,4.0,2.0,45080
Saab,2011,265.0,6.0,4.0,37250
Saab,2011,265.0,6.0,4.0,35875
Saab,2011,265.0,6.0,4.0,33380
Saab,2011,265.0,6.0,4.0,40245
Saab,2011,300.0,6.0,4.0,48010
Saab,2009,260.0,4.0,4.0,39400
Saab,2009,260.0,4.0,4.0,43270
Saab,2009,260.0,4.0,4.0,39650
Saab,2009,260.0,4.0,4.0,38380
Saab,2009,260.0,4.0,4.0,40765
Saab,2009,260.0,4.0,4.0,42000
Saab,2010,300.0,6.0,4.0,49165
Saab,2011,220.0,4.0,4.0,38525
Saab,2011,300.0,6.0,4.0,49565
Saab,2011,220.0,4.0,4.0,43435
Saab,2011,300.0,6.0,4.0,48030
Saab,2007,290.0,6.0,4.0,39190
Saab,2007,300.0,8.0,4.0,41190
Saab,2008,300.0,8.0,4.0,42770
Saab,2008,285.0,6.0,4.0,40400
Saab,2008,390.0,8.0,4.0,46530
Saab,2009,390.0,8.0,4.0,49105
Saab,2009,285.0,6.0,4.0,42615
Saab,2009,300.0,8.0,4.0,45345
Audi,2015,220.0,4.0,4.0,33200
Audi,2015,170.0,4.0,2.0,44050
Audi,2015,170.0,4.0,4.0,29900
Audi,2015,220.0,4.0,4.0,41650
Audi,2015,170.0,4.0,2.0,38150
Audi,2015,220.0,4.0,4.0,35750
Audi,2015,220.0,4.0,2.0,47050
Audi,2015,170.0,4.0,4.0,38350
Audi,2015,170.0,4.0,2.0,35600
Audi,2015,220.0,4.0,2.0,38600
Audi,2015,220.0,4.0,2.0,41150
Audi,2015,170.0,4.0,4.0,32450
Audi,2016,220.0,4.0,4.0,34200
Audi,2016,220.0,4.0,2.0,39600
Audi,2016,220.0,4.0,4.0,37700
Audi,2016,220.0,4.0,4.0,43050
Audi,2016,170.0,4.0,2.0,39300
Audi,2016,170.0,4.0,2.0,36600
Audi,2016,170.0,4.0,4.0,39750
Audi,2016,170.0,4.0,2.0,45450
Audi,2016,220.0,4.0,2.0,48450
Audi,2016,170.0,4.0,4.0,34400
Audi,2016,220.0,4.0,2.0,43100
Audi,2016,220.0,4.0,4.0,36900
Audi,2016,170.0,4.0,4.0,33600
Audi,2016,170.0,4.0,4.0,30900
Audi,2016,170.0,4.0,2.0,40100
Audi,2016,220.0,4.0,2.0,42300
Audi,2017,220.0,4.0,4.0,43150
Audi,2017,186.0,4.0,4.0,40150
Audi,2017,220.0,4.0,4.0,37450
Audi,2017,186.0,4.0,2.0,37600
Audi,2017,186.0,4.0,4.0,34450
Audi,2017,220.0,4.0,2.0,40300
Audi,2017,220.0,4.0,2.0,49250
Audi,2017,220.0,4.0,2.0,43550
Audi,2017,186.0,4.0,4.0,31200
Audi,2017,186.0,4.0,2.0,40850
Audi,2017,186.0,4.0,2.0,46550
Audi,2017,220.0,4.0,4.0,34200
Audi,2017,252.0,4.0,4.0,51400
Audi,2017,252.0,4.0,4.0,44000
Audi,2017,252.0,4.0,4.0,47000
Audi,2015,220.0,4.0,4.0,45000
Audi,2015,220.0,4.0,4.0,39700
Audi,2015,220.0,4.0,4.0,43800
Audi,2015,220.0,4.0,4.0,35500
Audi,2015,220.0,4.0,4.0,38500
Audi,2015,220.0,4.0,4.0,37600
Audi,2015,220.0,4.0,4.0,36400
Audi,2015,220.0,4.0,4.0,42900
Audi,2015,220.0,4.0,4.0,37600
Audi,2016,220.0,4.0,4.0,37000
Audi,2016,220.0,4.0,4.0,38000
Audi,2016,220.0,4.0,4.0,38000
Audi,2016,220.0,4.0,4.0,35900
Audi,2016,220.0,4.0,4.0,40100
Audi,2016,220.0,4.0,4.0,39100
Audi,2017,252.0,4.0,4.0,37300
Audi,2017,190.0,4.0,4.0,34900
Audi,2017,252.0,4.0,4.0,48000
Audi,2017,252.0,4.0,4.0,43200
Audi,2017,252.0,4.0,4.0,41100
Audi,2017,252.0,4.0,4.0,45900
Audi,2017,252.0,4.0,4.0,39400
